genus,interval,survived,occurrence_count,collection_count,environment_breadth,formation_breadth,duration,sampling_intensity,lat_range,lng_range,lazarus
Promathilda,Smithian,0,2,2,2,2,2,2,12.667501000000001,217.37139100000002,0
Promathildia,Pelsonian,0,26,15,2,5,2,26,22.950001,97.983334,1
Promyalina,Changhsingian,1,339,305,17,34,5,339,56.028716,263.527222,0
Promyalina,Griesbachian,1,339,305,17,34,5,339,56.028716,263.527222,0
Promyalina,Dienerian,1,339,305,17,34,5,339,56.028716,263.527222,0
Promyalina,Smithian,1,339,305,17,34,5,339,56.028716,263.527222,0
Promyalina,Spathian,0,339,305,17,34,5,339,56.028716,263.527222,0
Promysidiella,Griesbachian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Dienerian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Smithian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Spathian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Aegean,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Bithynian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Pelsonian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promysidiella,Illyrian,1,49,42,8,11,9,49,50.137997,238.695557,0
Promytilus,Changhsingian,0,10,9,3,5,2,10,48.86300000000001,123.43109799999999,0
Promytilus,Spathian,0,10,9,3,5,2,10,48.86300000000001,123.43109799999999,0
Pronoetlingites,Bithynian,1,2,2,1,2,2,2,0.15544500000000028,0.14433199999999857,0
Pronoetlingites,Pelsonian,0,2,2,1,2,2,2,0.15544500000000028,0.14433199999999857,0
Proptychites,Griesbachian,1,152,131,8,21,3,152,90.04111400000001,291.300003,0
Proptychites,Dienerian,1,152,131,8,21,3,152,90.04111400000001,291.300003,0
Proptychites,Smithian,0,152,131,8,21,3,152,90.04111400000001,291.300003,0
Proptychitidae,Dienerian,1,9,8,3,3,2,9,8.082000999999998,36.81300399999999,0
Proptychitidae,Smithian,0,9,8,3,3,2,9,8.082000999999998,36.81300399999999,0
Proptychitoides,Smithian,1,30,19,3,6,3,30,54.904334999999996,121.730099,0
Proptychitoides,Spathian,1,30,19,3,6,3,30,54.904334999999996,121.730099,0
Proptychitoides,Aegean,0,30,19,3,6,3,30,54.904334999999996,121.730099,0
Propupaspira,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Prosoleptus,Pelsonian,0,2,2,2,2,2,2,18.986389,77.364445,1
Prosphingites,Smithian,1,10,9,3,2,2,10,55.579170000000005,246.451111,0
Prosphingites,Spathian,0,10,9,3,2,2,10,55.579170000000005,246.451111,0
Prosphingitoides,Smithian,0,36,34,4,6,1,36,53.449998,250.525002,0
Prospondylus,Changhsingian,0,5,5,5,5,3,5,22.948331999999997,75.027664,1
Prospondylus,Pelsonian,0,5,5,5,5,3,5,22.948331999999997,75.027664,1
Proteusites,Pelsonian,0,6,3,2,1,2,6,3.991664,135.950276,1
Protogusarella,Spathian,0,44,43,6,3,1,44,5.460534000000003,2.5642390000000006,0
Protonerita,Spathian,0,3,3,2,2,3,3,13.903331999999999,81.999997,1
Protonerita,Bithynian,0,3,3,2,2,3,3,13.903331999999999,81.999997,1
Protopis,Smithian,1,7,7,4,4,4,7,57.237223,236.97982,0
Protopis,Spathian,0,7,7,4,4,4,7,57.237223,236.97982,0
Protopis,Illyrian,1,7,7,4,4,4,7,57.237223,236.97982,0
Protorcula,Pelsonian,0,1,1,1,1,1,1,0.0,0.0,0
Protostrea,Pelsonian,0,32,32,2,1,2,32,0.590836000000003,2.042496,1
Protostylus,Changhsingian,0,1,1,1,0,1,1,0.0,0.0,0
Prototoceras,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Protrachyceras,Bithynian,0,14,8,3,5,3,14,51.954001,97.194999,1
Protrachyceras,Illyrian,1,14,8,3,5,3,14,51.954001,97.194999,1
Protropites,Spathian,0,1,1,1,1,1,1,0.0,0.0,0
Pseudacrochordiceras,Spathian,0,3,3,2,2,1,3,3.7830009999999987,0.11700399999999433,0
Pseudaspenites,Dienerian,1,38,26,7,4,2,38,53.125944000000004,246.31199600000002,0
Pseudaspenites,Smithian,0,38,26,7,4,2,38,53.125944000000004,246.31199600000002,0
Pseudaspidites,Dienerian,1,81,68,9,9,3,81,21.8712,246.33734099999998,0
Pseudaspidites,Smithian,1,81,68,9,9,3,81,21.8712,246.33734099999998,0
Pseudaspidites,Spathian,0,81,68,9,9,3,81,21.8712,246.33734099999998,0
Pseudobaylea,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pseudoceltites,Smithian,1,43,40,4,7,2,43,25.221111,47.25,0
Pseudoceltites,Spathian,0,43,40,4,7,2,43,25.221111,47.25,0
Pseudocorbula,Dienerian,0,39,36,5,12,7,39,46.360001,242.114242,1
Pseudocorbula,Spathian,1,39,36,5,12,7,39,46.360001,242.114242,1
Pseudocorbula,Aegean,1,39,36,5,12,7,39,46.360001,242.114242,1
Pseudocorbula,Bithynian,1,39,36,5,12,7,39,46.360001,242.114242,1
Pseudocorbula,Pelsonian,1,39,36,5,12,7,39,46.360001,242.114242,1
Pseudocorbula,Illyrian,1,39,36,5,12,7,39,46.360001,242.114242,1
Pseudodanubites,Bithynian,1,21,21,3,3,3,21,34.063444000000004,231.112442,1
Pseudodanubites,Pelsonian,0,21,21,3,3,3,21,34.063444000000004,231.112442,1
Pseudoflemingites,Smithian,0,13,10,4,3,1,13,53.461039,113.04984300000001,0
Pseudogalfettites,Smithian,0,2,2,1,1,1,2,0.0,0.0,0
Pseudogastrioceras,Changhsingian,0,117,110,11,15,1,117,20.86,74.79000099999999,0
Pseudohollandites,Bithynian,0,6,6,2,3,2,6,8.063998999999995,61.37499999999999,0
Pseudokeyserlingites,Aegean,0,4,4,1,2,1,4,0.03300000000000125,0.025002000000000635,0
Pseudolabaia,Changhsingian,0,8,7,4,3,1,8,7.226666000000002,13.451392999999996,0
Pseudolimea,Spathian,0,7,6,1,2,2,7,24.888000000000005,88.989998,0
Pseudomonotidae,Changhsingian,0,1,1,1,1,1,1,0.0,0.0,0
Pseudomonotis,Changhsingian,1,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomonotis,Griesbachian,1,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomonotis,Dienerian,1,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomonotis,Smithian,1,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomonotis,Spathian,0,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomonotis,Pelsonian,1,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomonotis,Illyrian,1,46,43,7,18,8,46,90.880836,256.489998,0
Pseudomurchisonia,Griesbachian,1,6,6,1,2,2,6,16.218887000000002,97.213889,0
Pseudomurchisonia,Dienerian,0,6,6,1,2,2,6,16.218887000000002,97.213889,0
Pseudomyoconcha,Spathian,1,15,13,5,5,4,15,28.216669000000003,220.44756999999998,1
Pseudomyoconcha,Aegean,0,15,13,5,5,4,15,28.216669000000003,220.44756999999998,1
Pseudomyoconcha,Pelsonian,0,15,13,5,5,4,15,28.216669000000003,220.44756999999998,1
Pseudopermophorus,Spathian,0,1,1,1,1,1,1,0.0,0.0,0
Pseudoplacunopsis,Pelsonian,0,20,19,1,1,1,20,0.0,0.0,0
Pseudoproptychites,Griesbachian,1,7,7,4,4,3,7,19.166668,26.427994000000012,0
Pseudoproptychites,Dienerian,1,7,7,4,4,3,7,19.166668,26.427994000000012,0
Pseudoproptychites,Smithian,0,7,7,4,4,3,7,19.166668,26.427994000000012,0
Pseudoprosphingites,Smithian,1,7,7,2,2,2,7,19.033333,112.12783400000001,0
Pseudoprosphingites,Spathian,0,7,7,2,2,2,7,19.033333,112.12783400000001,0
Pseudopugnax,Changhsingian,0,2,2,1,1,1,2,0.30999700000000274,0.36499799999999993,0
Pseudosageceras,Griesbachian,1,216,203,14,33,6,216,91.214164,295.131943,0
Pseudosageceras,Dienerian,1,216,203,14,33,6,216,91.214164,295.131943,0
Pseudosageceras,Smithian,1,216,203,14,33,6,216,91.214164,295.131943,0
Pseudosageceras,Spathian,1,216,203,14,33,6,216,91.214164,295.131943,0
Pseudosageceras,Aegean,0,216,203,14,33,6,216,91.214164,295.131943,0
Pseudoscalites,Pelsonian,0,1,1,1,1,1,1,0.0,0.0,0
Pseudospiriferina,Spathian,1,44,32,5,8,5,44,12.620001000000002,10.270004,1
Pseudospiriferina,Aegean,0,44,32,5,8,5,44,12.620001000000002,10.270004,1
Pseudospiriferina,Pelsonian,1,44,32,5,8,5,44,12.620001000000002,10.270004,1
Pseudospiriferina,Illyrian,1,44,32,5,8,5,44,12.620001000000002,10.270004,1
Pseudostephanites,Changhsingian,0,17,12,6,5,1,17,15.339998999999999,74.233002,0
